code_commune_INSEE,nom_commune_complet,latitude,longitude,Population totale
10326,Rosnay-l'Hôpital,48.4577724478,4.50578895388,177.0
10327,La Rothière,48.3381400722,4.58555287029,117.0
10328,Rouilly-Sacey,48.3472856402,4.27393742571,393.0
10329,Rouilly-Saint-Loup,48.2647207301,4.1494550348,559.0
10330,Rouvres-les-Vignes,48.2383642107,4.82708902094,113.0
10331,Rumilly-lès-Vaudes,48.1254003173,4.19515234884,578.0
10332,Ruvigny,48.272139831,4.18869827764,506.0
10333,Saint-André-les-Vergers,48.2782659904,4.04840305057,12880.0
10334,Saint-Aubin,48.4828875357,3.55326963748,598.0
10335,Saint-Benoist-sur-Vanne,48.2352398291,3.66828750117,242.0
10336,Saint-Benoît-sur-Seine,48.3800523103,4.05187885884,396.0
10337,Saint-Christophe-Dodinicourt,48.4331543584,4.47362272662,34.0
10338,Saint-Étienne-sous-Barbuise,48.4925522857,4.11536192405,180.0
10339,Saint-Flavy,48.4064559956,3.77621221951,300.0
10340,Saint-Germain,48.2535079309,4.01065245328,2353.0
10341,Saint-Hilaire-sous-Romilly,48.4978643652,3.65717692243,364.0
10342,Saint-Jean-de-Bonneval,48.1719801314,4.05020732222,412.0
10343,Saint-Julien-les-Villas,48.2745172927,4.10297688057,6883.0
10344,Saint-Léger-près-Troyes,48.2395381009,4.07306377461,927.0
10345,Saint-Léger-sous-Brienne,48.4113235789,4.50613488827,394.0
10346,Saint-Léger-sous-Margerie,48.530849094,4.48665807166,52.0
10347,Saint-Loup-de-Buffigny,48.4446677907,3.63034199913,213.0
10348,Saint-Lupien,48.3644950452,3.69973385805,232.0
10349,Saint-Lyé,48.3442113534,3.9810222993,2951.0
10350,Saint-Mards-en-Othe,48.1634046099,3.78937817149,652.0
10351,Saint-Martin-de-Bossenay,48.4444963623,3.68962305417,370.0
10352,Sainte-Maure,48.3566905258,4.07198737935,2046.0
10353,Saint-Mesmin,48.4369664082,3.89872863616,902.0
10354,Saint-Nabord-sur-Aube,48.5128918959,4.20166023679,141.0
10355,Saint-Nicolas-la-Chapelle,48.5229300856,3.47856484513,69.0
10356,Saint-Oulph,48.5266441925,3.87406836475,318.0
10357,Saint-Parres-aux-Tertres,48.2913084954,4.13302448391,3227.0
10358,Saint-Parres-lès-Vaudes,48.1734919803,4.21620941399,1080.0
10359,Saint-Phal,48.1142637321,4.00171688367,521.0
10360,Saint-Pouange,48.224064228,4.04074318461,1203.0
10361,Saint-Remy-sous-Barbuise,48.4777025802,4.13036926093,250.0
10362,Sainte-Savine,48.2963408998,4.02333022061,10847.0
10363,Saint-Thibault,48.2010515888,4.14696728723,550.0
10364,Saint-Usage,48.0990942326,4.63420644531,74.0
10365,Salon,48.6427112307,4.01781744354,125.0
10366,Saulcy,48.2775769597,4.83542439731,65.0
10367,La Saulsotte,48.5502087528,3.50552882992,690.0
10368,Savières,48.4057771573,3.935288338,1042.0
10369,Semoine,48.6735130864,4.09378069924,206.0
10370,Soligny-les-Étangs,48.4021938714,3.51624678712,256.0
10371,Sommeval,48.159126703,3.95489771109,313.0
10372,Soulaines-Dhuys,48.3784420023,4.71797387888,425.0
10373,Souligny,48.2082516391,3.99414213688,398.0
10374,Spoy,48.2276371502,4.61406016756,154.0
10375,Thennelières,48.2893448693,4.18526592573,344.0
10376,Thieffrain,48.2003070687,4.43842199513,157.0
10377,Thil,48.3409418137,4.78858247296,120.0
10378,Thors,48.3080677394,4.80493827415,71.0
10379,Torcy-le-Grand,48.5234326195,4.16799145735,466.0
10380,Torcy-le-Petit,48.5222887571,4.18694712376,79.0
10381,Torvilliers,48.2754934679,3.97217127639,1013.0
10382,Traînel,48.4140944853,3.45656011239,1049.0
10383,Trancault,48.3711938779,3.53292444285,187.0
10384,Trannes,48.3069705851,4.5990873423,211.0
10386,Trouans,48.6388005085,4.24987699201,223.0
10387,Troyes,48.2967099637,4.07827967525,63708.0
10388,Turgy,48.0300363367,4.05312999836,44.0
10389,Unienville,48.3173788807,4.54850083928,116.0
10390,Urville,48.1668057798,4.66928684991,122.0
10391,Vailly,48.3723387031,4.12583904396,299.0
10392,Vallant-Saint-Georges,48.4606930046,3.88605241357,411.0
10393,Vallentigny,48.442454066,4.61489587199,181.0
10394,Vallières,47.9992814172,4.06184063227,167.0
10395,Vanlay,48.0188179751,4.01889408699,297.0
10396,Vauchassis,48.2092064967,3.92631536187,506.0
10397,Vauchonvilliers,48.266444897,4.53268851278,169.0
10398,Vaucogne,48.5333241035,4.34483013658,75.0
10399,Vaudes,48.1755264671,4.1822235389,729.0
10400,Vaupoisson,48.5007015249,4.216312839,121.0
10401,Vendeuvre-sur-Barse,48.2461425886,4.46090923858,2358.0
10402,La Vendue-Mignot,48.1456208933,4.10314764777,249.0
10403,Vernonvilliers,48.3146477146,4.67938075644,53.0
10404,Verpillières-sur-Ource,48.0406701366,4.5860718335,113.0
10405,Verricourt,48.4529660787,4.33421102008,58.0
10406,Verrières,48.2345711401,4.15425792921,1895.0
10408,Viâpres-le-Petit,48.5822319187,4.05387093659,139.0
10409,Villacerf,48.407677761,4.00228117316,615.0
10410,Villadin,48.316863996,3.69033893209,109.0
10411,La Ville-aux-Bois,48.4038925077,4.68731356148,28.0
10412,Villechétif,48.3182253913,4.14937893854,969.0
10414,Villeloup,48.3546192059,3.86858896275,130.0
10416,Villemereuil,48.2017413737,4.08326296474,247.0
10417,Villemoiron-en-Othe,48.1996782401,3.79189787326,213.0
10418,Villemorien,48.0798060719,4.2947230418,208.0
10419,Villemoyenne,48.1878192236,4.24708790908,752.0
10420,Villenauxe-la-Grande,48.5945779935,3.5477753332,2729.0
10421,La Villeneuve-au-Châtelot,48.5495270783,3.60717347149,151.0
10422,Villeneuve-au-Chemin,48.089137016,3.83985245464,187.0
10423,La Villeneuve-au-Chêne,48.2487579972,4.39081684128,423.0
10424,Villeret,48.481503616,4.58651626543,65.0
10425,Villery,48.1734982781,4.01734084562,273.0
10426,Ville-sous-la-Ferté,48.1358669154,4.77205760299,919.0
